type,title,cast,date_added,rating,listed_in,country_parsed
1,82,3154,1,8,397,6
0,124,1586,1,8,309,42
0,67,6191,1,5,335,61
0,126,1785,1,4,47,76
0,60,2918,1,4,293,76
1,94,1885,1,8,396,72
0,30,395,1,8,335,17
0,44,5589,1,5,293,76
0,119,1656,1,6,335,28
0,46,5151,1,8,338,28
0,47,6233,1,8,329,76
1,48,5371,1,8,231,53
1,49,-1,1,8,222,42
0,54,690,1,8,269,71
0,86,4819,1,5,345,76
0,4539,5504,1,6,315,46
1,2123,5786,1,6,394,48
0,65,470,1,5,329,47
0,40,5127,1,6,187,28
0,11,3706,1,9,447,75
0,7771,2124,1,6,302,28
0,7767,5595,1,6,36,28
0,7768,119,1,6,309,28
0,7769,5959,1,6,309,28
1,7770,1025,1,6,74,35
0,12,-1,1,2,260,76
1,13,-1,1,8,426,76
0,0,6701,1,8,338,65
0,1,2365,1,6,266,33
1,8,3468,1,8,464,76
0,9,-1,1,6,266,9
0,2,123,1,7,312,29
0,3,122,1,7,312,29
0,10,4666,1,6,176,76
0,4,2621,1,6,217,9
0,5,-1,1,9,273,76
0,6,2022,1,8,188,56
0,7,4015,1,8,188,56
1,7766,1295,1,6,375,48
0,7754,1924,1,8,205,67
0,7756,1886,1,6,205,72
0,7758,3253,1,8,335,27
0,7757,758,1,8,205,72
0,7759,863,1,8,309,46
0,7755,1168,1,4,56,76
1,7761,339,1,8,231,72
0,14,3771,1,9,322,76
0,15,898,1,6,324,76
0,16,750,1,6,208,64
0,17,2046,1,6,188,19
0,18,6022,1,4,0,76
1,19,1660,1,6,376,65
0,20,-1,1,8,266,67
1,21,6779,1,6,284,76
0,22,1427,1,8,314,54
0,23,2522,1,10,422,76
0,24,-1,1,6,260,76
0,25,549,1,6,309,29
1,26,1449,1,6,97,75
0,27,6426,1,6,309,28
0,28,5557,1,8,307,76
1,29,5911,1,6,361,65
0,31,4853,1,2,334,76
1,32,1722,1,8,250,76
1,33,1721,1,8,221,76
0,34,4145,1,5,342,76
0,35,-1,1,8,260,76
0,36,4835,1,9,422,48
0,37,1693,1,5,48,25
0,38,4669,1,8,342,76
0,39,-1,1,8,260,76
