type,title,cast,date_added,rating,listed_in,country_parsed
1,82,3154,1597363200,8,397,6
0,124,1586,1482451200,8,309,42
0,67,6191,1545264000,5,335,61
0,126,1785,1510790400,4,47,76
0,60,2918,1577836800,4,293,76
1,94,1885,1498867200,8,396,72
0,30,395,1590969600,8,335,17
0,44,5589,1572566400,5,293,76
0,119,1656,1554076800,6,335,28
0,46,5151,1513296000,8,338,28
0,47,6233,1508457600,8,329,76
1,48,5371,1543536000,8,231,53
1,49,6808,1558051200,8,222,42
0,54,690,1551398400,8,269,71
0,86,4819,1584576000,5,345,76
0,4539,5504,1567296000,6,315,46
1,2123,5786,1553040000,6,394,48
0,65,470,1539129600,5,329,47
0,40,5127,1553817600,6,187,28
0,11,3706,1526428800,9,447,75
0,7771,2124,1535760000,6,302,28
0,7767,5595,1536969600,6,36,28
0,7768,119,1536969600,6,309,28
0,7769,5959,1536969600,6,309,28
1,7770,1025,1579737600,6,74,35
0,12,6808,1467244800,2,260,76
1,13,6808,1597190400,8,426,76
0,0,6701,1599523200,8,338,65
0,1,2365,1593561600,6,266,33
1,8,3468,1587081600,8,464,76
0,9,6808,1580860800,6,266,9
0,2,123,1590019200,7,312,29
0,3,122,1593302400,7,312,29
0,10,4666,1504828800,6,176,76
0,4,2621,1554854400,6,217,9
0,5,6808,1480550400,9,273,76
0,6,2022,1559347200,8,188,56
0,7,4015,1559347200,8,188,56
1,7766,1295,1553904000,6,375,48
0,7754,1924,1563494400,8,205,67
0,7756,1886,1489104000,6,205,72
0,7758,3253,1522108800,8,335,27
0,7757,758,1489104000,8,205,72
0,7759,863,1601596800,8,309,46
0,7755,1168,1517443200,4,56,76
1,7761,339,1484611200,8,231,72
0,14,3771,1498867200,9,322,76
0,15,898,1499385600,6,324,76
0,16,750,1571356800,6,208,64
0,17,2046,1498867200,6,188,19
0,18,6022,1559347200,4,0,76
1,19,1660,1607299200,6,376,65
0,20,6808,1530835200,8,266,67
1,21,6779,1584057600,6,284,76
0,22,1427,1489104000,8,314,54
0,23,2522,1572652800,10,422,76
0,24,6808,1521504000,6,260,76
0,25,549,1609977600,6,309,29
1,26,1449,1572566400,6,97,75
0,27,6426,1480550400,6,309,28
0,28,5557,1552521600,8,307,76
1,29,5911,1495411200,6,361,65
0,31,4853,1471046400,2,334,76
1,32,1722,1591315200,8,250,76
1,33,1721,1566518400,8,221,76
0,34,4145,1547337600,5,342,76
0,35,6808,1475798400,8,260,76
0,36,4835,1485388800,9,422,48
0,37,1693,1554249600,5,48,25
0,38,4669,1540598400,8,342,76
